Comments,Output
"I recently dined at 1618 Asian Fusion in Austin, and I must say, it was an exceptional experience. From the moment I walked in, I was captivated by the inviting ambiance. The restaurant's decor exuded a warm and modern charm that set the perfect tone for a delightful evening.

Now, let's talk about the star of the show - the food. The menu at 1618 Asian Fusion offers a diverse range of Asian cuisines, and every dish we ordered was an absolute delight. The flavors were a symphony of tastes that left our taste buds dancing with joy. The presentation of each dish was impeccable, demonstrating the kitchen's commitment to both taste and aesthetics.
Show shopper dishes and must try - Banana Leaf salmon, Flambeau Cheescake, tempura Tofu

But what truly elevated our dining experience was our server, Ana. She was not only attentive and knowledgeable about the menu but also displayed a genuine passion for ensuring our meal was a memorable one. Her recommendations were spot-on, and she went above and beyond to cater to our needs. Ana's friendly and warm demeanor added a personal touch that made us feel like valued guests.

In summary, 1618 Asian Fusion in Austin is a gem for food enthusiasts looking for an outstanding culinary adventure in a tastefully designed setting. The combination of delectable cuisine, a cozy ambiance, and the exceptional service provided by Ana make it a must-visit destination for anyone seeking a memorable dining experience. I can't wait to return and savor more of their incredible dishes.","Food - Banana Leaf salmon (must-try), Flambeau Cheesecake (must-try), Tempura Tofu (must-try)||Service - Exceptional, attentive, knowledgeable, genuine||Ambiance - Inviting, warm, modern charm"
"The wait was really long, so we put our name down and left, but about 30 minutes later we were able to be seated at the bar.

They had some really cool looking drinks what fruit around the display case, if you want something alcoholic to try. There was so much on the menu I wanted to get, but we agreed on the pho with short ribs and filet and the stir fried filet dish.

I like how they pour the broth at your table. The meats for both dishes were flavorful and tender. The soup broth was delicious as well. It was fun interacting with the bartender too. She was so friendly and sweet.","Food - Pho with short ribs and filet (flavorful broth, tender meats), Stir fried filet dish (flavorful and tender meats)||Drinks - Cool looking||Service - Friendly and sweet"
"1618 is a nice restaurant for an occasion, but overrated in my books. Definitely make a reservation before you go.

The food is tasty and the service is really solid, but the price for the portion is not so good. I was excited about the shrimp but you only get 5 pieces. Perhaps the best thing to get is the crispy pad thai, because it's something novel where the noodles are fried. Other things I tried could be found elsewhere in larger quantities at a less fancy place. Nonetheless, it's quality stuff and their cheesecake makes you feel classy.

There's free parking in the garage in the back.

I'll be back for another birthday dinner!","Food - Crispy pad thai (novel concept with fried noodles, tasty), Shrimp (tasty but small portion)||Service - solid||Price - high||Parking - free"
"I love the Peking duck here! Probably my fav Peking duck in Austin. It'd be great if there was an option to sub buns for crepes though :) the coconut fried rice was okay, not my favorite. It had some Tom-yum flavor, which I usually like for soup but tasted a bit strange for rice. 10/10 for presentation of the fried rice though. Good service, very friendly servers. Nice ambiance. I would definitely come back!","Food - Peking duck (favorite, prefer option to sub buns for crepes), Coconut fried rice (okay, Tom-yum flavor tasted strange for rice, perfect presentation)||Service - friendly||Ambiance - nice"
"My goodness. I'm a fan. The ambiance is upbeat and a bit loud at times, but it's wonderful for a dinner date. The xiao long bao is a MUST! The five sampler is a good portion to split with someone and it's nice to try a bit of everything!

The Pad Thai is good, but the next time I come I have to explore some newer options here. I wish I saved some room for dessert because that also looked incredible at the neighboring tables.

Big fan and will go again! Be wary of a bit of a wait time during peak dinner hours!

Cheers!","Ambiance - Upbeat, bit loud, wonderful for dinner date||Food - Xiao long bao (MUST try), Five sampler (good portion to split), Pad Thai (good)"
Wonderful food and excellent service from Ana! She was so knowledgeable and had a positive vibe. The ambiance was perfect! Definitely coming back.,"Food - Wonderful||Service - Excellent, knowledgeable, positive vibe||Ambiance - Perfect"
"Visited 1618 for dinner during my visit after seeing it on Yelp's Top 100 list! We made a reservation a few weeks out. It's beautiful inside, and our server was extremely friendly and helpful.

My one gripe is that they don't offer any modifications to the majority of their dishes - I totally understand from a chef perspective, but as someone with dietary restrictions (and a low spice tolerance!!) it made it difficult because we couldn't order a few of the things we initially wanted to and had to pivot.

We split the house fried rice. It was delicious, but we were really hoping to try the more exciting pineapple or coconut ones - neither of which could have the spiciness removed so we opted out. I liked that we could get a combo of chicken, shrimp, and beef. We both agreed that the beef was our favorite.

I got the duck skewers, which were AMAZING. I just wish they were bigger!!! The dipping sauce they came with was perfect too. So tender and flavorful.

My friend ordered steamed dumplings. They were rainbow colored, and I'm not sure how they make them colorful so it kind of freaked me out a bit since I try not to consume artificial coloring, etc. I did try one and felt it was too chewy for my liking - I probably would have preferred them fried.","Food - House fried rice (delicious), Duck skewers (AMAZING, small portion), Steamed dumplings (colorful, too chewy)||Service - friendly, helpful||Ambiance - Beautiful"
"I completely understand why this place was on the top 100 restaurants in the country list. It's awesome.

Ambiance: Tucked away on Riverside, large wooden doors lead to a beautifully lit dining room, intimate bar and stunning decor. Each table is decorated with greenery.

Service: The staff is pretty attentive, no complaints. They take time to explain the menu and give suggestions. I've only had subpar service once.

The goods: I've had everything from the curries to fried rice, summer rolls, salt and pepper prawns and pad Thai. Everything was delicious, though the curries tend to be on the sweeter side.

I can't wait to dine here again.","Food - Delicious, curries tend to be on sweeter side||Ambiance - beautifully lit, intimate bar, stunning decor||Service - attentive, helpful"
"We were very impressed! They were able to seat us without a reservation. Everything was delicious! I loved the long bao and egg bao! Orange chicken was great too.
Our server Liz was great! We will be back","Food - Long bao (loved), egg bao (loved), Orange chicken (great)||Service - great"
"It pains me to write this review but I have waited long enough to do so. We used to love coming here, definitely one of our favorites and recommended it to so many. The special memories we have made here will last forever. However, now when I pass the restaurant I get a little queasy, a little sad, and not mad... but definitely dissappointed.

The last time we visited here, we brought a guest with us and we had a fantastic meal. However, all three of us became very ill within the next 24 hours. 100% food poisoning. It hit me the worst, because I was pregnant on top of it and ended up in the emergency room all night. Thankfully our guest didn't have it hit her until her plane landed back in her home state. I felt awful for taking her somewhere that ended up making us all sick, although I know anything can happen anywhere and it isn't necessarily a reflection of the establishment. We have never had an issue there any other time.

The problem was their reaction to this when we called them to let them know that others might be I'll as well and we wanted to give them a run down of what we ate so they could figure out what it was. The original person we spoke with was more than apologetic and ready to help but whoever he gave the information to, was not. They quite literally tried to blame us and say it was probably food allergies. Yes, all three of us suddenly have a good allergy we never knew about and all of us have the same one with the same reaction and it only hit us after eating at your restaurant. We had to stay extremely persistent to get any kind of help in the situation.

I miss their great food and violin events, but haven't been able to get myself to go back after their reaction to such a disappointing experience.",Food - Food poisoning
"We have been passing by this time and time again and wanting to go, yet just never made the move! Well my husband finally took me for a nice dinner and my oh my were our mouths and bellies thankful for the experience! And ""experience"" is the only way to describe this! Our first visit, our server was amazing and so helpful with recommendations- she actually convinced me to order something completely different just by her passion for this specific dish. We started the with soup dumplings and actually had no idea how to eat them - but you can find anything on YouTube these days right? I'm being 1000% serious, I totally searched in on YouTube so we could properly eat these dumplings. When I say I could quite literally just order multiple orders of the dumplings and eat them as my appetizer, meal, and dessert.... I mean it. The calamari was  seasoned to perfection and so satisfying. I'm fairly certain I got a box for two pieces of calamari. That's just silly to you if you haven't had it before... but once you have it, you, too, will not let it go to waste. The dipping sauce was the perfect match. For dinner, I got the Filet Green Curry and WOW , this was just the right dish for me, not too spicy, enough to save for second meal the next day (which was gold) - and very flavorful! My husband was the winner here, he got the Pho Rib (served with a filet) and DAMMMMNNNNN GINA! The presentation, the taste, the impending doom we both felt as the dish came near its end- because that flavor deserves to be tasted forever.  This dish was the star for sure!

We went back again on Christmas Eve for an incredible evening with Omar Phoenix playing the violin and we sat and ate and drank and melted in the presence of this incredible artist for four hours. I could write about that night alone forever but then I might need a publisher and a pen name. Magical. This place is absolutely magical.

Pro tips: the old fashioned is $18 but it's prepared tableside in a smoker and it's a whole thing! We enjoyed them. The five sampler: totally worth it. Eat the soup dumplings and watch youtube to do it properly. Your server can be amazing or mediocre but the food will always satisfy. If Omar is playing, make reservations, bring your friends, and go! Someone at your table MUST order the Pho Rib. That is a non negotiable.","Food - Soup dumplings (recommended), Calamari (seasoned to perfection, satisfying), Filet Green Curry (flavorful), Pho Rib (star of the meal)||Drinks - Old fashioned (worth it)||Service - Amazing, helpful with recommendations||Ambiance - Magical atmosphere, incredible evening, Omar Phoenix playing the violin on Christmas Eve"
"I get takeout here all the time!

The Tom Kha soup is one of my favorites and it's really good here! The only downside is that you have to order rice and it isn't included in the price of the soup.

The soup has a lot of mushrooms in it here so if you are not a fan of those, I would not recommend. Also I will add that sometimes the mushrooms look like the chicken / it was hard for me to distinguish so I wouldn't count on being able to pick them out!

I have never actually eaten at the Restaurant, but it looks nice! It's in a sort of apartment complex strip, I'm guessing they have retail parking since spots are pretty limited, but I would double check before coming next.","Food - Tom Kha soup (favorite, rice not included, lots of mushrooms, hard to distinguish mushroom from chicken)||Location - in an apartment complex strip||Parking - limited parking spots"
"The ambiance of the restaurant was amazing. Wall was lined with sansaverrias and good mood lighting. Large wine rack decor in the middle of the restaurant floor. Service was good and attentive keeping our waters topped off. Wait time to get a seat was a bit long, but plenty of space outside to wait.

Came here for my dad's belated birthday and he was able to get a dessert which was this decadent taro flan.  But first started off the meal with the spicy Saigon chicken wings. They had a real nice crispy skin and right amount of fire. Then had duck four season which was served with lychee and longan for that sweet and savory taste. No bao buns like your usual Peking duck dishes. But the duck was cooked nicely and still really moist. We got the salted pepper shrimp, pineapple fried rice, and oxtail pho since my dad really wanted to try the oxtail. He was thoroughly impressed even though he knows how to make his own pho at home. The meat falls off the bone and the broth tasted rich yet clean. Fried rice wasn't a big portion and served in a pineapple but still really good fried rice!

Overall enjoyed my experience and would be back if I lived in Austin!","Food - Spicy Saigon chicken wings (nice crispy skin, right amount of fire), Duck four season (cooked nicely, moist), Salted pepper shrimp (impressive), Pineapple fried rice (good, small portion), Oxtail pho (impressive, rich yet clean broth)||Ambiance - Amazing, sansaverrias lining the walls, good mood lighting, large wine rack decor||Service - Good, attentive"
"Soup Dumplings were very good. The tofu summer roll was easily the best I've ever had. I don't do them often because they aren't usually so flavorful. Green curry was great. Had a healthy curry sweat as I wrapped up my dinner. Wine list vast, as the drink list and deserts. Next time I will get more into those parts of the menu and the live music nights sound right up my alley.
Service was great. Absolutely no complaints about anything.
Thank you 1618!","Food - Soup Dumplings (very good), Tofu summer roll (best ever, flavorful), Green curry (great)||Drinks - Vast wine list||Service - Great"
"Great service, good vibes, delicious food!
Waiter gave us great suggestions, the salt and pepper prawns and pineapple fried rice. We also had an ube shot that was yummy. Second time here even though i don't live in austin, this place is definitely worth checking out!","Service - Great, great recommendations||Ambiance - Good vibes||Food - Salt and pepper prawns (delicious), Pineapple fried rice(delicious)||Drinks - Ube shot (yummy)"
"The food is soooo good! I'm kind of picky in terms of Asian fusion, but 1618 actually did the fusion pretty good. It kept the original taste of all the dishes that we ordered. The Yellow Curry with Shrimp is very good, very Thai in my opinion, as well as the pepper steak, very Chinese. Good quality meal in a nice restaurant. The live music is great, not too loud, which is perfect. I really enjoyed the music and the food. I have to say the boss has a pretty good taste.
Hmmmm, coconut fried rice is over priced. You could order something better at this price.
Overall is good, will be back for sure!","Food - Yellow Curry with Shrimp (very good, Thai flavor), Pepper steak (very good, Chinese flavor), Coconut fried rice (overpriced)||Ambiance - live music is great, music not too loud"
Loved the food. Loved the service. Loved the vibe. This place has everything you're looking for in Asian cuisine. Loved the shrimp and pork dumplings and the chicken xiao long bao. The pineapple fried rice was yummy. The star of the order was the crispy chicken pad Thai. So so good. I'd go here again. Squid calamari was great too. The sauce that came with it was outstanding!,"Food - Shrimp and pork dumplings (loved), Chicken xiao long bao (loved), Pineapple fried rice (yummy), Crispy chicken pad Thai (star of the order, so good), Squid calamari (great, outstanding sauce)||Service - Loved||Ambiance - Loved the vibe"
"It was my last day in Austin and my friends decided to come here for one last chow for me.

It definitely wasn't a disappointment and I would definitely come back here.

I ordered their beef rib pho and Holy mother of all that's delicious....it was quite divine. The meat was tender and literally slid right off the bone. The fact that they pour the broth in front of you is a plus because I actually like a nice show with my food lol.

I do recommend everyone to give them a try, it's definitely worth it","Food - Beef rib pho (divine, tender meat, broth poured in front adds to experience)"
"Service was phenomenal- shout out to Emily!

Came here for lunch with a group (total of 4 people) and it was a majority of our first time here. Emily served us and made great recommendations, this review would be all about her if I kept talking about her.

In my very own opinion I'd say that the food was average, good but average, and the service/nature of the restaurant made it 4 stars.

I ordered Calamari and Orange Chicken. Calamari was great, orange chicken was good. The rice was SO bland. I mean I get it, it's just white rice, but I've had better. The chicken, for me, could have been a TAD more crispy but I'm just being picky. It's probably the best portion of chicken I've had whenever ordering orange chicken. It wasn't over powered by breading.

My friend ordered salmon and said it was a great portion size and very tasty he left very full and satisfied.

The only true negative I'll mention is there were a decent amount of flies. When we first arrived there weren't that many. I think as more people arrived towards the end of our meal flies just kept flying in. Not sure if this is something they can truly control. But it was bothersome.

Overall 1618 is worth a second visit and for a different meal. I'll definitely have the calamari again though.","Food - Calamari (great), Orange Chicken (good, bland rice), Salmon (great portion size, very tasty), Rice (bland)||Service - Phenomenal, great recommendations"
"First time coming here with my friend recommendation and I am so impressed! All the food we ate did not miss. The xiao long bao was so good and full of flavor and comes in 5 pieces. The shrimp and pork shu mai was also very good and it comes in 3 pieces. The scallion pancakes were perfectly textured. I got the Saigon lamb rack and omg the flavoring of the lambs alone was so good but the salad and the sauce to dip made it even better. My friend got the filet mignon pho and the broth was just ready to eat and didn't require anything additional. Overall, when I'm in town again I will definitely be coming back to try all the other items on the menu!!!

Ambiance was nice and parking in the garage was easy. Service was fairly fast as well.","Food - Xiao long bao (full of flavor), Shrimp and pork shu mai (very good), Scallion pancakes (perfectly textured), Saigon lamb rack (flavorful lamb, salad and sauce enhanced taste), Filet mignon pho (ready to eat broth, no additional seasoning required)||Ambiance - Nice||Parking - Easy||Service - fast"
"Literally one of Austin's Top Restaurants For sure! Have the Best Happy Hour, the Vibes are always chill and upscale at the same time. Fits my personality and Asian Fusion is my Favorite cuisine even though I was born and raised in Mississippi. Bartenders are always top tier and holding the best standards every shift! I always get the same thing everytime I come and it's perfect and taste the same every time! I mostly come alone and always sit at the bar and Kiara, Kaye, and Abigail are always welcoming and making sure my experience is great every time! 1618 is really Blessed to have such a Great Crew and Great Food! My Fav Restaurant in Austin and Stay Great and Consistent as you guys always do! And Thanks for Wishing me Happy Birthday and Service today was Great as always! Thanks","Ambiance - Chill, upscale||Service - Top tier, welcoming, consistent"
"Once again we enjoyed some more delicious food, drinks and service from a truly amazing and dedicated team who always make us feel like a part of their family.  In addition they are also one of the restaurants participating in the Dine for Maui project to help those who have been devastated by wildfires on the island.
Thanks to the entire team for providing us with another wonderful experience. It's always heartwarming to see the diversity of the people who come together here. It says a lot about a place where managers actually serve drinks, clean tables and also make sure that their customers are happy, and that's the philosophy of the restaurant.
We also want to thank Shaira who was our server and took extra special care of us.","Service - Amazing, make customers feel like part of the family, managers serve drinks and clean tables"
"Once again we enjoyed a wonderful meal served by a truly dedicated staff.
We ordered some of our favorite dishes and noticed that the papaya salad wasn't as spicy as usual, but tasted sweeter but in greater proportions. Nonetheless, we enjoyed every bite. As always the staff were absolutely amazing and attentive.
It's always so wonderful to see the diversity of people who come together here.
Our server Mika couldn't have been more charming or helpful like everyone on the team. We couldn't have chosen a better place to celebrate Chinese New Year.","Food - Papaya salad (not as spicy as usual, tasted sweeter)||Service - Dedicated, amazing, attentive"
"Continuing our Christmas festivities with dinner at one of our favorite places for special occasions.
Our server Joyce was delightful and attentive and cheerfully packed up what was left from our luscious whole snapper. We also enjoyed our regular favorites of their egg rolls and refreshing green papaya salad with shrimp.","Food - Whole snapper (luscious, enjoyed), Egg rolls (favorites), Green papaya salad with shrimp (refreshing)||Service - Delightful, attentive"
"Went once again for lunch, and it was amazing as always.
We had initially planned on barbecue, but as soon as we saw the mob waiting outside, we decided to head to one of our absolute favorites.
Although we clearly didn't have reservations, we waited less than 10 minutes.
As always every member of the staff is incredibly friendly and welcoming.
We ordered our normal dishes which are made from truly fresh ingredients. The place was buzzing with people from all walks of life, and everyone was clearly having a great time.","Food - fresh ingredients||Service - friendly, welcoming||Ambiance - Buzzing with people from all walks of life"
"Today was the first time in a while to go for lunch, but it was just as spectacular as it is during dinner.
We were seated promptly and knew immediately that we were going to order our regular dishes: the egg rolls, the green papaya salad with shrimp, large wonton soup, crispy pad Thai with chicken, and Filet Mignon stir fry.
The cocktails, food, ambiance and service from start to finish were as stellar as always which is why we love this place so much.","Food - Egg rolls (stellar), green papaya salad with shrimp (stellar), large wonton soup (stellar), crispy pad Thai with chicken (stellar), Filet Mignon stir fry (stellar)||Service - Stellar"
"Celebrated our Christmas Eve here and, as always, had a spectacular time.
The food, drinks and service were impeccable as always, and every time we go, we feel like members of the 1618 family.",Food - Impeccable||Drinks - Impeccable||Service - Impeccable
"Once again we returned to one of our absolute favorite restaurants tonight, and it was utterly fantastic as always.
Thankfully we had already reserved because it was hopping.
Cassie was our server this time, and she amazing and attentive. Once we heard that the Salt and Pepper Lobster was the special, we decided to indulge ourselves, and were happy that we did. We also ordered our favorite green papaya salad with shrimp along with the 1618 egg roll. Delicious as always.
They insist on serving the freshest seafood, and tonight they really shined.
Along with the live local musician along with the perfectly crafted cocktails, our Friday night was spectacular.","Food - Green papaya salad with shrimp (Delicious), 1618 egg roll (Delicious), Salt and Pepper Lobster (Special, indulgent, satisfying)||Service - Amazing, attentive||Ambiance - Live local musician, hopping atmosphere"
"Back once again to one of our absolute favorite restaurants in Austin. As always the staff were friendly and welcoming from the moment we entered. Soon after we were escorted to our table.

Abigail was our wonderful server, and took perfect care of us from start to finish. We started with the egg rolls which were delicious as always, and followed that with the green mango salad, crisp, fresh and tasty.

For our mains we had the lamb, salt & pepper prawns and crispy pad Thai. Both were succulent as ever. Several times members of management stopped by to make sure that everything was to our liking. Of course it was.","Food - Egg rolls (Delicious), Green mango salad (Crisp, fresh, tasty), Lamb (Succulent), Salt & pepper prawns (Succulent), Crispy pad Thai (Succulent)||Service - Wonderful, friendly, welcoming, attentive"
"This was our first visit since Covid-19, and not only is it still as stellar as before, we were lucky to even get a table this evening.

There was apparently 100 tables booked for tonight, but they're operating at 50% capacity. Nonetheless, they were still rocking with the same awesome service from an obviously dedicated staff.

The whole tamarind fish was probably the most delectable dish I've ever had in my life! Crispy skin and moist delectable flesh. My mouth is still watering writing this!","Food - Whole tamarind fish (delectable, crispy skin, moist delectable flesh)||Service - Awesome, dedicated"
"Earlier today we had one of our most enjoyable lunches in a while.  Although we arrived without reservations, they were able to accommodate us promptly.

Having been here before, we ordered our favorites: the papaya salad with shrimp, the crispy pad Thai with chicken, and the filet mignon with green onions, along with a cocktail each.

The space is beautiful, and it's clear that the staff truly appreciate their customers.","Food - Papaya salad with shrimp (enjoyable), Crispy pad Thai with chicken (satisfying), Filet mignon with green onions (favorite)||Ambiance - Beautiful space||Service - Staff appreciative"
"Food: excellent. Everyone at our table was satisfied. I enjoyed each dish we ordered. For a place that serves dim sum, they should really give you sauces for dipping on the side but the don't. When I asked our waitress she ended up giving me siracha and the brown plum sauce. Lol. Make it make sense.

Service: our waitress was great! She was super attentive. Brought everything at once and did well with the suggestions.

Ambiance:  this is the spot!","Food - dim sum (excellent)||Service - attentive, helpful with suggestions||Ambiance - great"
Nica was excellent!!! The food was Amazing!!! Like on a different level!!! So good! I was blown away by all the flavors of the food! I was so happy eating here! You Need to eat here!!!,"Food - Amazing, flavorful||Service - Excellent"
"Came here with my in-laws who were visiting from Miami.
Great tasting food at a decent price!
Good serving sizes as well!
The waitress was very kind and knowledgeable!
Although it was very loud, it wasn't too horrible!
Would definitely come back again with friends.","Food - Great||Service - Kind, knowledgeable||Ambiance - Loud but bearable"
"Love this place. Everything I've gotten has always been great but my tops are the orange chicken and the pork egg rolls with fish sauce. They also have great cocktails! Overall 10/10, food, service, ambiance (especially for a date night/special occasion/just to grab drinks with friends).","Food - Orange chicken (great), Pork egg rolls with fish sauce (great)||Ambiance - Great for various occasions||Service - Great, attentive"
"Easy five star spot! 3rd time here. Came here for lunch and dinner. That's how great it is!

Food: top notch. The pad Thai is really good. Full of flavor. The oxtail pho is so dam good. Also we really enjoyed the sesame chicken and general Tsos chicken. The dumplings were good as well. The filet mignonette beef stir fry was good.

We will definitely stop at this spot every single time we are in Austin. The service is great. The ambiance is nice. We will definitely come back here for years to come.

Very happy with this place.","Food - Pad Thai (full of flavor), Oxtail pho (excellent), Sesame chicken (good), General Tso's chicken (good), Dumplings (good), Filet mignonette beef stir fry (good)||Service - Great||Ambiance - Nice"
"I wasn't the biggest fan of how cramped the tables felt, especially with how hot it was outside and inside. And there were a lot of flies that kept flying around. But our server was amazing and the food was pretty decent!

I had the panang curry and it was the perfect balance of sweet and spicy, and had a good amount of shrimp in it. The rice didn't taste that fresh because it was kind of dry and clumpy, but you can't really tell when you mix it with the curry.

Sadly, we didn't try any of their famous pho because it was so hot out, but will definitely try that as well as some of their desserts next time I find myself in that area.","Food - Panang curry (perfect balance of sweet and spicy), Shrimp curry (good), rice (not fresh)||Service - Amazing||Ambiance - Cramped tables, hot environment, flies"
"This restaurant was such a good experience. From planning it with the event planner via email to being helped by the hostess and staff.

When my group got there, we was immediately greeted by the front staff. Told them I have been communicating with the event planner to have the semi private room reserved for 17 guest. The hostess asked if we wanted the private room
Because they spoke to the manager. I said yes of course if it's available.

I know serving 17 guest at a table will be hard but kudos to our waitress, she was amazing! Very professional and was very attentive. Im so glad I chose this place for breakfast.

FOOD : their pho broth is so good... It's both rich and clean. They use the flat pho noodles you see in Vietnam (more traditional) compare to the thin ones you see at other places. Most at the table got the Pho Beef Rib with filet mignon. For $22? Such a steal. I do wish that they gave more pho noodles... But overall, it's one of the best pho I ever had. We ordered so many apps from Shu Mai to crispy shrimp balls, so excited I forgot to take pictures!

DRINKS : we tried the Smokey old fashioned. For $20? It was ok. I can't complain because usually Old Fashioned go for $20. I didn't really taste the Smokey ness..

Overall, if I'm In the area, I would definitely come back. Highly recommend it!","Food - Pho broth (rich and clean), Pho beef rib with filet mignon (excellent)||Drinks - Smokey old fashioned (not great)||Service - Professional, attentive"
